dataset_name,num_entities,num_relations,num_triples,relation_entity_ratio,gini_coefficient,cv_relation_freq,top_10_percent_ratio,graph_density,avg_relation_degree,entropy,avg_relation_freq,std_relation_freq,structure_level,reasoning,matched_name,mrr_diff,performance_category,semma_mrr
nell995/raw,31731,200,40781,0.006302984463143298,0.5894564870895762,1.7060119385800203,0.46102351585297074,4.050329478923558e-05,203.905,6.6479433084973945,203.905,347.86436433615904,high,Medium Gini (0.589); High CV (1.706); Medium top-10% (0.461); Low ratio (0.0063),NELL995-ht,0.013,significantly_improved,0.442
cnet100k/raw,78334,34,102400,0.0004340388592437511,0.6895950137867648,1.4548495891995894,0.4271875,1.6687810111213112e-05,3011.764705882353,3.8251260584195443,3011.764705882353,4381.6646451187635,high,Medium Gini (0.690); High CV (1.455); Medium top-10% (0.427); Low ratio (0.0004),ConceptNet 100k-ht,-0.0249999999999999,significantly_degraded,0.162
SparseKG/NELL23K/raw,16178,11124,35358,0.6876004450488318,0.6214729671429438,4.193637875377933,0.6090276599355167,0.000135094612307042,3.1785329018338726,11.575005088748462,3.1785329018338726,13.329615965265456,medium,Medium Gini (0.621); High CV (4.194); High top-10% (0.609); High ratio (0.6876),,,unknown,
SparseKG/WD-singer/raw,8829,5389,20508,0.6103749008947785,0.5845587579290077,4.613311166519942,0.5122391261946557,0.0002630875369899499,3.8055297828910746,10.94763914595653,3.8055297828910746,17.556093041935604,medium,Medium Gini (0.585); High CV (4.613); Medium top-10% (0.512); High ratio (0.6104),WDsinger-ht,-0.011,significantly_degraded,0.368
SparseKG/FB15K-237-10/raw,10684,9477,60985,0.8870273305877948,0.6262420068474381,4.467338306676503,0.5492334180536197,0.0005342632103401048,6.435053286905139,11.498487802441677,6.435053286905139,28.747560054095864,medium,Medium Gini (0.626); High CV (4.467); Medium top-10% (0.549); High ratio (0.8870),FB15K237,-0.001,stable,0.377
SparseKG/FB15K-237-20/raw,12338,11261,91162,0.9127087048143946,0.6346418109061776,4.7673581068409945,0.5490774664882297,0.0005988586304474543,8.095373412663173,11.70488997658706,8.095373412663173,38.59354406676483,medium,Medium Gini (0.635); High CV (4.767); Medium top-10% (0.549); High ratio (0.9127),FB15K237,-0.001,stable,0.377
SparseKG/FB15K-237-50/raw,13569,12823,173830,0.9450217407325522,0.6463794605104158,4.8870512531428645,0.549226255537019,0.0009441240163679809,13.556110114637761,11.871767580627626,13.556110114637761,66.24940492348313,medium,Medium Gini (0.646); High CV (4.887); Medium top-10% (0.549); High ratio (0.9450),FB15K237,-0.001,stable,0.377
hetionet/raw,45158,24,2250197,0.0005314672926170336,0.6951977426865292,1.5966140931259156,0.4825848581257552,0.0011034461478263088,93758.20833333333,3.260143432191203,93758.20833333333,149695.67677123565,high,Medium Gini (0.695); High CV (1.597); Medium top-10% (0.483); Low ratio (0.0005),,,unknown,
yago310/raw,123182,37,1089040,0.00030036856034160837,0.8318462479227924,2.69612479760849,0.7260651583045619,7.177105486068848e-05,29433.513513513513,2.896688066172932,29433.513513513513,79356.42566452837,high,High Gini (0.832); High CV (2.696); High top-10% (0.726); Low ratio (0.0003),YAGO310-ht,0.0819999999999999,significantly_improved,0.393
NELL23K/raw,16178,11124,35358,0.6876004450488318,0.6214729671429438,4.193637875377933,0.6090276599355167,0.000135094612307042,3.1785329018338726,11.575005088748462,3.1785329018338726,13.329615965265456,medium,Medium Gini (0.621); High CV (4.194); High top-10% (0.609); High ratio (0.6876),,,unknown,
WD-singer/raw,8829,5389,20508,0.6103749008947785,0.5845587579290077,4.613311166519942,0.5122391261946557,0.0002630875369899499,3.8055297828910746,10.94763914595653,3.8055297828910746,17.556093041935604,medium,Medium Gini (0.585); High CV (4.613); Medium top-10% (0.512); High ratio (0.6104),WDsinger-ht,-0.011,significantly_degraded,0.368
FB15K-237-10/raw,10684,9477,60985,0.8870273305877948,0.6262420068474381,4.467338306676503,0.5492334180536197,0.0005342632103401048,6.435053286905139,11.498487802441677,6.435053286905139,28.747560054095864,medium,Medium Gini (0.626); High CV (4.467); Medium top-10% (0.549); High ratio (0.8870),FB15K237,-0.001,stable,0.377
FB15K-237-20/raw,12338,11261,91162,0.9127087048143946,0.6346418109061776,4.7673581068409945,0.5490774664882297,0.0005988586304474543,8.095373412663173,11.70488997658706,8.095373412663173,38.59354406676483,medium,Medium Gini (0.635); High CV (4.767); Medium top-10% (0.549); High ratio (0.9127),FB15K237,-0.001,stable,0.377
FB15K-237-50/raw,13569,12823,173830,0.9450217407325522,0.6463794605104158,4.8870512531428645,0.549226255537019,0.0009441240163679809,13.556110114637761,11.871767580627626,13.556110114637761,66.24940492348313,medium,Medium Gini (0.646); High CV (4.887); Medium top-10% (0.549); High ratio (0.9450),FB15K237,-0.001,stable,0.377
